Sh,SoT,Tkl,Int,Gls,Player,Team,Match,Possession
21,5,16,4,0,Totals,Barcelona,cbe0a303,0.67
4,2,18,10,0,Totals,Rayo Vallecano,cbe0a303,0.33
6,4,11,8,1,Totals,Almería,47134469,0.28
13,1,13,5,0,Totals,Barcelona,47134469,0.72
12,5,20,8,2,Totals,Manchester United,a096cedf,0.43
5,2,23,8,1,Totals,Barcelona,a096cedf,0.57
16,4,13,5,2,Totals,Barcelona,c3d1d09b,0.64
14,4,13,5,0,Totals,Cádiz,c3d1d09b,0.36
18,8,13,6,2,Totals,Barcelona,96fc7983,0.6
18,5,23,7,1,Totals,Manchester United,96fc7983,0.4
11,2,13,12,0,Totals,Villarreal,44e57939,0.54
6,4,16,15,1,Totals,Barcelona,44e57939,0.46
16,7,13,6,3,Totals,Barcelona,1ccc0d2c,0.65
3,1,20,8,0,Totals,Sevilla,1ccc0d2c,0.35
5,1,23,8,0,Totals,Real Betis,1826e512,0.37
13,3,23,7,2,Totals,Barcelona,1826e512,0.63
8,2,12,9,0,Totals,Girona,05df662a,0.41
8,3,19,5,1,Totals,Barcelona,05df662a,0.59
19,6,6,6,1,Totals,Barcelona,fd948a48,0.74
7,2,10,6,0,Totals,Real Sociedad,fd948a48,0.26
8,4,16,5,1,Totals,Barcelona,09f83bbc,0.67
7,3,15,9,0,Totals,Getafe,09f83bbc,0.33
6,0,8,7,0,Totals,AD Ceuta,046d687e,0.35
16,7,13,4,5,Totals,Barcelona,046d687e,0.65
12,6,8,6,1,Totals,Real Madrid,fc49664d,0.47
11,6,6,2,3,Totals,Barcelona,fc49664d,0.54
15,7,11,13,2,Totals,Real Betis,5e0a98e6,0.39
12,6,9,10,2,Totals,Barcelona,5e0a98e6,0.61
20,3,24,14,0,Totals,Atlético Madrid,3169fc9b,0.42
10,2,22,13,1,Totals,Barcelona,3169fc9b,0.58
9,6,11,21,3,Totals,Intercity,f49a3835,0.23
29,10,12,13,4,Totals,Barcelona,f49a3835,0.77
21,6,11,3,1,Totals,Barcelona,2af3934b,0.77
3,0,18,6,1,Totals,Espanyol,2af3934b,0.23
15,3,10,5,1,Totals,Osasuna,1eecb0cd,0.47
9,3,12,3,2,Totals,Barcelona,1eecb0cd,0.53
26,12,15,3,2,Totals,Barcelona,b9cc54ac,0.7
4,1,13,12,0,Totals,Almería,b9cc54ac,0.3
21,7,13,11,2,Totals,Viktoria Plzeň,7011379b,0.24
11,7,13,6,4,Totals,Barcelona,7011379b,0.76
3,2,24,13,0,Totals,Valencia,9abb9c34,0.33
13,2,12,8,1,Totals,Barcelona,9abb9c34,0.67
9,0,15,4,0,Totals,Barcelona,ced16d03,0.52
14,7,34,10,3,Totals,Bayern Munich,ced16d03,0.48
10,7,13,6,4,Totals,Barcelona,2fb55ba0,0.65
5,1,12,11,0,Totals,Athletic Club,2fb55ba0,0.35
16,5,17,11,3,Totals,Barcelona,1fc0e34e,0.69
5,1,16,13,0,Totals,Villarreal,1fc0e34e,0.31
7,3,19,6,3,Totals,Real Madrid,c1875f22,0.44
18,5,14,8,1,Totals,Barcelona,c1875f22,0.56
25,10,12,15,3,Totals,Barcelona,fac347dd,0.61
11,8,15,7,3,Totals,Internazionale,fac347dd,0.39
13,5,17,8,1,Totals,Barcelona,a32c09d3,0.57
14,3,12,15,0,Totals,Celta Vigo,a32c09d3,0.43
5,2,22,13,1,Totals,Internazionale,3b3866ca,0.29
7,2,14,4,0,Totals,Barcelona,3b3866ca,0.71
13,3,14,5,0,Totals,Mallorca,5e73ad1a,0.29
11,3,11,6,1,Totals,Barcelona,5e73ad1a,0.71
25,9,15,12,3,Totals,Barcelona,edcc3e7a,0.76
1,1,14,12,0,Totals,Elche,edcc3e7a,0.24
13,4,25,21,2,Totals,Bayern Munich,fa6819d6,0.47
18,4,21,14,0,Totals,Barcelona,fa6819d6,0.53
6,0,17,12,0,Totals,Cádiz,50a0b6b9,0.3
16,8,9,7,4,Totals,Barcelona,50a0b6b9,0.7
20,10,19,8,5,Totals,Barcelona,d0611a51,0.76
8,1,19,14,1,Totals,Viktoria Plzeň,d0611a51,0.24
9,4,21,17,0,Totals,Sevilla,7952eab7,0.46
18,5,11,13,3,Totals,Barcelona,7952eab7,0.54
24,9,15,7,4,Totals,Barcelona,4ed9f64b,0.67
8,2,22,9,0,Totals,Valladolid,4ed9f64b,0.33
10,5,25,5,1,Totals,Real Sociedad,9a5e0f15,0.42
15,7,20,12,4,Totals,Barcelona,9a5e0f15,0.58
