Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Team,Possession
El Bilal Touré,9.0,ml MLI,FW,21-146,88,1,0,0,0,1,1,0,0,25,1,1,1,0.3,0.3,0.0,1,1,13,18,72.2,0,7,3,1,1,Almería,0.28
Kaiky,2.0,br BRA,CB,19-045,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Almería,0.28
Luis Javier Suárez,16.0,co COL,FW,25-086,75,0,1,0,0,1,0,0,0,23,0,1,0,0.0,0.0,0.3,1,1,14,15,93.3,2,15,1,2,1,Almería,0.28
Adri Embarba,10.0,es ESP,"LM,FW",30-295,15,0,0,0,0,1,1,0,0,11,0,0,0,0.5,0.5,0.0,0,0,3,4,75.0,0,6,2,1,0,Almería,0.28
Lucas Robertone,5.0,ar ARG,LM,25-345,75,0,0,0,0,0,0,1,0,39,0,1,1,0.0,0.0,0.1,2,0,15,23,65.2,5,16,1,5,2,Almería,0.28
Largie Ramazani,7.0,be BEL,"FW,LM",21-364,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,2,1,Almería,0.28
Íñigo Eguaras,4.0,es ESP,CM,30-356,82,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,1,0,18,25,72.0,3,12,1,0,0,Almería,0.28
Alejandro Pozo Pozo,17.0,es ESP,RM,24-004,8,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Almería,0.28
César de la Hoz,6.0,es ESP,CM,30-333,90,0,0,0,0,0,0,0,0,28,2,2,1,0.0,0.0,0.5,1,0,8,19,42.1,1,7,0,1,1,Almería,0.28
Léo Baptistão,12.0,br BRA,RM,30-184,82,0,0,0,0,1,1,0,0,34,0,1,0,0.1,0.1,0.0,3,0,14,23,60.9,2,23,3,1,1,Almería,0.28
Samu Costa,23.0,pt POR,CM,22-091,8,0,0,0,0,1,1,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Almería,0.28
Sergio Akieme,15.0,es ESP,LB,25-072,90,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,10,17,58.8,1,13,0,0,0,Almería,0.28
Srđan Babić,22.0,rs SRB,CB,26-310,90,0,0,0,0,0,0,0,0,19,1,0,2,0.0,0.0,0.0,0,0,10,15,66.7,0,9,0,0,0,Almería,0.28
Rodrigo Ely,19.0,br BRA,CB,29-115,90,0,0,0,0,1,0,0,0,37,3,0,1,0.0,0.0,0.0,1,0,11,18,61.1,2,9,0,0,0,Almería,0.28
Juan Brandáriz,21.0,es ESP,RB,23-361,90,0,0,0,0,0,0,1,0,49,3,1,2,0.0,0.0,0.0,0,0,23,35,65.7,3,22,1,1,0,Almería,0.28
Fernando,13.0,es ESP,GK,32-261,90,0,0,0,0,0,0,1,0,39,0,0,0,0.0,0.0,0.0,1,0,20,40,50.0,0,13,0,0,0,Almería,0.28
Robert Lewandowski,9.0,pl POL,FW,34-189,90,0,0,0,0,4,0,0,0,29,0,0,0,0.3,0.3,0.1,1,0,16,18,88.9,4,18,1,2,2,Barcelona,0.72
